"filename", "language", "PHP", "JavaScript", "CSS", "JSON", "Shell Script", "PowerShell", "Markdown", "XML", "YAML", "SQL", "comment", "blank", "total"
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\examples\res\example14.php", "PHP", 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 122
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\examples\res\example15.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\examples\res\forms.php", "PHP", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 71
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\examples\res\groups.php", "PHP", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\examples\res\measure.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 34
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\examples\res\qrcode.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\examples\res\radius.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\examples\res\svg.php", "PHP", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 40
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\examples\res\svg_tiger.php", "PHP", 246, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 247
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\examples\res\svg_tree.php", "PHP", 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 113
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\examples\res\ticket.php", "PHP", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\jcar0080\Desktop\GestionQuestionnaireRH-main\html2pdf\examples\svg.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 33
